osgb4000000074551960,http://data.ordnancesurvey.co.uk/id/4000000074551960,Ardminish,,,,populatedPlace,Village,164871,648628,6000,250000,164641,648141,165174,649021,PA41,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA41,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074338228,http://data.ordnancesurvey.co.uk/id/4000000074338228,Killean,,,,populatedPlace,Hamlet,169552,644595,5000,25000,169454,644207,169954,644811,PA29,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA29,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074552722,http://data.ordnancesurvey.co.uk/id/4000000074552722,Clachan,eng,An Clachan,gla,populatedPlace,Village,176510,656295,15000,250000,174920,655707,177263,656667,PA29,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA29,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074551959,http://data.ordnancesurvey.co.uk/id/4000000074551959,Tayinloan,eng,Taigh an Loin,gla,populatedPlace,Village,169585,645853,7000,250000,169261,645722,170332,646705,PA29,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA29,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2636163
osgb4000000074578977,http://data.ordnancesurvey.co.uk/id/4000000074578977,Muasdale,,,,populatedPlace,Village,167977,640125,9000,250000,167650,639591,168250,640903,PA29,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA29,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA417AG,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA417AG,PA41 7AG,,,,other,Postcode,164819,648883,3500,18000,,,,,,,Ardminish,http://data.ordnancesurvey.co.uk/id/4000000074551960,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA296XL,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA296XL,PA29 6XL,,,,other,Postcode,176743,656226,3500,18000,,,,,,,Clachan / An Clachan,http://data.ordnancesurvey.co.uk/id/4000000074552722,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA296XF,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA296XF,PA29 6XF,,,,other,Postcode,169214,643823,3500,18000,,,,,,,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA296XW,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA296XW,PA29 6XW,,,,other,Postcode,174920,655356,3500,18000,,,,,,,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA296XE,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA296XE,PA29 6XE,,,,other,Postcode,167967,640058,3500,18000,,,,,,,Muasdale,http://data.ordnancesurvey.co.uk/id/4000000074578977,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA296XJ,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA296XJ,PA29 6XJ,,,,other,Postcode,169614,645885,3500,18000,,,,,,,Tayinloan / Taigh an Loin,http://data.ordnancesurvey.co.uk/id/4000000074551959,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
