osgb4000000074575472,http://data.ordnancesurvey.co.uk/id/4000000074575472,Dùn Chàrlabhaigh,gla,Doune Carloway,eng,populatedPlace,Other Settlement,119273,941090,15000,25000,118429,940014,119736,941316,HS2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS2,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074575762,http://data.ordnancesurvey.co.uk/id/4000000074575762,Borghastan,gla,Borrowston,eng,populatedPlace,Hamlet,119204,942522,5000,25000,118941,942293,119449,942793,HS2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS2,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074576032,http://data.ordnancesurvey.co.uk/id/4000000074576032,Bostadh,,,,populatedPlace,Other Settlement,114428,940219,15000,25000,114332,939812,114832,940312,HS2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS2,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074575473,http://data.ordnancesurvey.co.uk/id/4000000074575473,Cirbhig,gla,Kirivick,eng,populatedPlace,Hamlet,119362,941604,5000,25000,119218,941391,120369,942251,HS2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS2,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
HS29AJ,http://data.ordnancesurvey.co.uk/id/postcodeunit/HS29AJ,HS2 9AJ,,,,other,Postcode,119982,943722,3500,18000,,,,,,,Na Gearrannan / Garenin,http://data.ordnancesurvey.co.uk/id/4000000074576033,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
HS29AW,http://data.ordnancesurvey.co.uk/id/postcodeunit/HS29AW,HS2 9AW,,,,other,Postcode,119906,942664,3500,18000,,,,,,,Carloway / Càrlabhagh,http://data.ordnancesurvey.co.uk/id/4000000074543469,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
HS29AZ,http://data.ordnancesurvey.co.uk/id/postcodeunit/HS29AZ,HS2 9AZ,,,,other,Postcode,119024,941144,3500,18000,,,,,,,Dùn Chàrlabhaigh / Doune Carloway,http://data.ordnancesurvey.co.uk/id/4000000074575472,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#otherSettlement,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
HS29AA,http://data.ordnancesurvey.co.uk/id/postcodeunit/HS29AA,HS2 9AA,,,,other,Postcode,119635,940604,3500,18000,,,,,,,Dùn Chàrlabhaigh / Doune Carloway,http://data.ordnancesurvey.co.uk/id/4000000074575472,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#otherSettlement,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
HS29AY,http://data.ordnancesurvey.co.uk/id/postcodeunit/HS29AY,HS2 9AY,,,,other,Postcode,119629,941815,3500,18000,,,,,,,Cirbhig / Kirivick,http://data.ordnancesurvey.co.uk/id/4000000074575473,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#hamlet,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
HS29AP,http://data.ordnancesurvey.co.uk/id/postcodeunit/HS29AP,HS2 9AP,,,,other,Postcode,119147,942551,3500,18000,,,,,,,Borghastan / Borrowston,http://data.ordnancesurvey.co.uk/id/4000000074575762,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#hamlet,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
