osgb4000000074563822,http://data.ordnancesurvey.co.uk/id/4000000074563822,Rhydlydan,,,,populatedPlace,Hamlet,289295,350837,5000,25000,289021,350530,289521,351078,LL24,http://data.ordnancesurvey.co.uk/id/postcodedistrict/LL24,,,,,,,Conwy - Conwy,http://data.ordnancesurvey.co.uk/id/7000000000025493,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
osgb4000000074541899,http://data.ordnancesurvey.co.uk/id/4000000074541899,Pennant,,,,populatedPlace,Hamlet,287065,359153,5000,25000,286838,358898,287338,359398,LL22,http://data.ordnancesurvey.co.uk/id/postcodedistrict/LL22,,,,,,,Conwy - Conwy,http://data.ordnancesurvey.co.uk/id/7000000000025493,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
osgb4000000074564760,http://data.ordnancesurvey.co.uk/id/4000000074564760,Llangwm,,,,populatedPlace,Village,296639,344638,5000,250000,296402,344281,296902,345063,LL21,http://data.ordnancesurvey.co.uk/id/postcodedistrict/LL21,,,,,,,Conwy - Conwy,http://data.ordnancesurvey.co.uk/id/7000000000025493,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,http://sws.geonames.org/2644011
osgb4000000074322443,http://data.ordnancesurvey.co.uk/id/4000000074322443,Cwmtirmynach,,,,populatedPlace,Hamlet,291055,342981,5000,25000,290888,342614,291605,343114,LL23,http://data.ordnancesurvey.co.uk/id/postcodedistrict/LL23,,,,,,,Gwynedd - Gwynedd,http://data.ordnancesurvey.co.uk/id/7000000000025483,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
osgb4000000074564148,http://data.ordnancesurvey.co.uk/id/4000000074564148,Capel Garmon,,,,populatedPlace,Village,281572,355443,8000,250000,280555,355219,281743,355848,LL26,http://data.ordnancesurvey.co.uk/id/postcodedistrict/LL26,,,,,,,Conwy - Conwy,http://data.ordnancesurvey.co.uk/id/7000000000025493,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,http://sws.geonames.org/2653848
osgb4000000074564146,http://data.ordnancesurvey.co.uk/id/4000000074564146,Padog,,,,populatedPlace,Hamlet,283953,351442,5000,25000,283738,351150,284238,351650,LL24,http://data.ordnancesurvey.co.uk/id/postcodedistrict/LL24,,,,,,,Conwy - Conwy,http://data.ordnancesurvey.co.uk/id/7000000000025493,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
osgb4000000074321106,http://data.ordnancesurvey.co.uk/id/4000000074321106,Wenallt,,,,populatedPlace,Other Settlement,298605,341959,15000,25000,298352,341767,298852,342267,LL21,http://data.ordnancesurvey.co.uk/id/postcodedistrict/LL21,,,,,,,Gwynedd - Gwynedd,http://data.ordnancesurvey.co.uk/id/7000000000025483,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
osgb4000000074321107,http://data.ordnancesurvey.co.uk/id/4000000074321107,Gellioedd,,,,populatedPlace,Other Settlement,293918,344709,15000,25000,293561,344594,294061,345094,LL21,http://data.ordnancesurvey.co.uk/id/postcodedistrict/LL21,,,,,,,Conwy - Conwy,http://data.ordnancesurvey.co.uk/id/7000000000025493,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
osgb4000000074564145,http://data.ordnancesurvey.co.uk/id/4000000074564145,Pentrefoelas,,,,populatedPlace,Village,287213,351618,5000,250000,287047,351073,287806,351752,LL24,http://data.ordnancesurvey.co.uk/id/postcodedistrict/LL24,,,,,,,Conwy - Conwy,http://data.ordnancesurvey.co.uk/id/7000000000025493,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,http://sws.geonames.org/2640396
osgb4000000074563821,http://data.ordnancesurvey.co.uk/id/4000000074563821,Glasfryn,,,,populatedPlace,Hamlet,292093,350275,5000,25000,291386,350132,292145,350632,LL21,http://data.ordnancesurvey.co.uk/id/postcodedistrict/LL21,,,,,,,Conwy - Conwy,http://data.ordnancesurvey.co.uk/id/7000000000025493,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
