osgb4000000074549783,http://data.ordnancesurvey.co.uk/id/4000000074549783,Kinloch Laggan,,,,populatedPlace,Other Settlement,254097,789568,15000,25000,252979,789342,255212,789842,PH20,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PH20,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Kinloch_Laggan,
osgb4000000074549427,http://data.ordnancesurvey.co.uk/id/4000000074549427,Achduchil,,,,populatedPlace,Hamlet,259329,792442,5000,25000,259092,792194,259592,792694,PH20,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PH20,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074549786,http://data.ordnancesurvey.co.uk/id/4000000074549786,Crathie,,,,populatedPlace,Other Settlement,258449,794023,15000,25000,257836,793524,259144,794421,PH20,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PH20,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PH201BU,http://data.ordnancesurvey.co.uk/id/postcodeunit/PH201BU,PH20 1BU,,,,other,Postcode,259314,792408,3500,18000,,,,,,,Achduchil,http://data.ordnancesurvey.co.uk/id/4000000074549427,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#hamlet,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PH201BY,http://data.ordnancesurvey.co.uk/id/postcodeunit/PH201BY,PH20 1BY,,,,other,Postcode,255066,789588,3500,18000,,,,,,,Kinloch Laggan,http://data.ordnancesurvey.co.uk/id/4000000074549783,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#otherSettlement,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PH201AJ,http://data.ordnancesurvey.co.uk/id/postcodeunit/PH201AJ,PH20 1AJ,,,,other,Postcode,255173,793803,3500,18000,,,,,,,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PH201BX,http://data.ordnancesurvey.co.uk/id/postcodeunit/PH201BX,PH20 1BX,,,,other,Postcode,254110,789582,3500,18000,,,,,,,Kinloch Laggan,http://data.ordnancesurvey.co.uk/id/4000000074549783,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#otherSettlement,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000004305040,http://data.ordnancesurvey.co.uk/id/4000000004305040,General Wade's Military Road,,,,transportNetwork,Named Road,253214,793948,20000,92000,246361,792844,260580,796094,PH20,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PH20,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000004307774,http://data.ordnancesurvey.co.uk/id/4000000004307774,A86,,,,transportNetwork,Numbered Road,250975,788527,355000,1000000,222212,780542,276801,801268,PH20,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PH20,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074762052,http://data.ordnancesurvey.co.uk/id/4000000074762052,Bealach a' Gheurachaidh,,,,landform,Valley,242709,783888,3000,800000,242525,783638,243025,784138,PH31,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PH31,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074606242,http://data.ordnancesurvey.co.uk/id/4000000074606242,Binnein Shuas,,,,landform,Hill Or Mountain,246299,782682,1000,300000,246049,782432,246549,782932,PH31,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PH31,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
