osgb4000000074556057,http://data.ordnancesurvey.co.uk/id/4000000074556057,Alnham,,,,populatedPlace,Hamlet,399575,610889,5000,25000,398997,610165,399927,611120,NE66,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NE66,,,,,,,Northumberland,http://data.ordnancesurvey.co.uk/id/7000000000043674,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Alnham,http://sws.geonames.org/2657442
osgb4000000074555663,http://data.ordnancesurvey.co.uk/id/4000000074555663,Hepple,,,,populatedPlace,Hamlet,398291,600552,5000,25000,397770,600258,398866,600758,NE65,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NE65,,,,,,,Northumberland,http://data.ordnancesurvey.co.uk/id/7000000000043674,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Hepple,http://sws.geonames.org/2647081
osgb4000000074555666,http://data.ordnancesurvey.co.uk/id/4000000074555666,Burradon,,,,populatedPlace,Hamlet,398203,606195,5000,25000,397907,605881,398407,606381,NE65,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NE65,,,,,,,Northumberland,http://data.ordnancesurvey.co.uk/id/7000000000043674,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,"http://dbpedia.org/resource/Burradon,_Northumberland",
osgb4000000074556421,http://data.ordnancesurvey.co.uk/id/4000000074556421,Linhope,,,,populatedPlace,Hamlet,396307,616122,5000,25000,395993,615896,396493,616396,NE66,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NE66,,,,,,,Northumberland,http://data.ordnancesurvey.co.uk/id/7000000000043674,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074555667,http://data.ordnancesurvey.co.uk/id/4000000074555667,Sharperton,,,,populatedPlace,Hamlet,395648,603818,5000,25000,395514,603730,396014,604288,NE65,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NE65,,,,,,,Northumberland,http://data.ordnancesurvey.co.uk/id/7000000000043674,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Sharperton,http://sws.geonames.org/2638119
osgb4000000074556053,http://data.ordnancesurvey.co.uk/id/4000000074556053,Harbottle,,,,populatedPlace,Village,393546,604666,6000,250000,392783,604525,393763,605025,NE65,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NE65,,,,,,,Northumberland,http://data.ordnancesurvey.co.uk/id/7000000000043674,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Harbottle,http://sws.geonames.org/2647506
osgb4000000074555665,http://data.ordnancesurvey.co.uk/id/4000000074555665,Holystone,,,,populatedPlace,Hamlet,395582,602730,5000,25000,395151,602420,395932,602920,NE65,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NE65,,,,,,,Northumberland,http://data.ordnancesurvey.co.uk/id/7000000000043674,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,"http://dbpedia.org/resource/Holystone,_Northumberland",
osgb4000000074555664,http://data.ordnancesurvey.co.uk/id/4000000074555664,Flotterton,,,,populatedPlace,Hamlet,399806,602445,5000,25000,399719,602184,400219,602684,NE65,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NE65,,,,,,,Northumberland,http://data.ordnancesurvey.co.uk/id/7000000000043674,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074556056,http://data.ordnancesurvey.co.uk/id/4000000074556056,Scrainwood,,,,populatedPlace,Hamlet,398984,609508,5000,25000,398827,609233,399327,609733,NE66,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NE66,,,,,,,Northumberland,http://data.ordnancesurvey.co.uk/id/7000000000043674,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074556054,http://data.ordnancesurvey.co.uk/id/4000000074556054,Netherton,,,,populatedPlace,Village,399113,607575,9000,250000,398338,607209,399665,608008,NE65,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NE65,,,,,,,Northumberland,http://data.ordnancesurvey.co.uk/id/7000000000043674,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
