osgb4000000074579462,http://data.ordnancesurvey.co.uk/id/4000000074579462,Gadfield Elm,,,,populatedPlace,Hamlet,378632,231306,5000,25000,378245,231024,378745,231524,GL19,http://data.ordnancesurvey.co.uk/id/postcodedistrict/GL19,,,,Malvern Hills,http://data.ordnancesurvey.co.uk/id/7000000000003292,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Worcestershire,http://data.ordnancesurvey.co.uk/id/7000000000002993,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,West Midlands,http://data.ordnancesurvey.co.uk/id/7000000000041426,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074580064,http://data.ordnancesurvey.co.uk/id/4000000074580064,The Pound,,,,populatedPlace,Hamlet,370469,231009,5000,25000,370301,230757,370801,231257,GL18,http://data.ordnancesurvey.co.uk/id/postcodedistrict/GL18,,,,Forest of Dean,http://data.ordnancesurvey.co.uk/id/7000000000020508,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Gloucestershire,http://data.ordnancesurvey.co.uk/id/7000000000020616,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074579942,http://data.ordnancesurvey.co.uk/id/4000000074579942,Oxenhall,,,,populatedPlace,Other Settlement,370679,227304,15000,25000,370428,226604,371225,227431,GL18,http://data.ordnancesurvey.co.uk/id/postcodedistrict/GL18,,,,Forest of Dean,http://data.ordnancesurvey.co.uk/id/7000000000020508,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Gloucestershire,http://data.ordnancesurvey.co.uk/id/7000000000020616,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074569679,http://data.ordnancesurvey.co.uk/id/4000000074569679,Gorsley Common,,,,populatedPlace,Village,367664,225304,10000,250000,366624,224626,368113,226218,HR9,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HR9,,,,,,,County of Herefordshire,http://data.ordnancesurvey.co.uk/id/7000000000038904,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,West Midlands,http://data.ordnancesurvey.co.uk/id/7000000000041426,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074579010,http://data.ordnancesurvey.co.uk/id/4000000074579010,Crossway,,,,populatedPlace,Hamlet,361863,231051,5000,25000,361698,230864,362198,231364,HR1,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HR1,,,,,,,County of Herefordshire,http://data.ordnancesurvey.co.uk/id/7000000000038904,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,West Midlands,http://data.ordnancesurvey.co.uk/id/7000000000041426,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074580069,http://data.ordnancesurvey.co.uk/id/4000000074580069,Phocle Green,,,,populatedPlace,Hamlet,362707,226293,5000,25000,362247,225988,362764,226681,HR9,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HR9,,,,,,,County of Herefordshire,http://data.ordnancesurvey.co.uk/id/7000000000038904,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,West Midlands,http://data.ordnancesurvey.co.uk/id/7000000000041426,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074578652,http://data.ordnancesurvey.co.uk/id/4000000074578652,Ludstock,,,,populatedPlace,Other Settlement,368384,235583,15000,25000,368210,235344,368710,235844,HR8,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HR8,,,,,,,County of Herefordshire,http://data.ordnancesurvey.co.uk/id/7000000000038904,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,West Midlands,http://data.ordnancesurvey.co.uk/id/7000000000041426,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074579583,http://data.ordnancesurvey.co.uk/id/4000000074579583,King's Green,,,,populatedPlace,Hamlet,376846,233895,5000,25000,376592,233675,377092,234175,WR13,http://data.ordnancesurvey.co.uk/id/postcodedistrict/WR13,,,,Forest of Dean,http://data.ordnancesurvey.co.uk/id/7000000000020508,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Gloucestershire,http://data.ordnancesurvey.co.uk/id/7000000000020616,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074578527,http://data.ordnancesurvey.co.uk/id/4000000074578527,Donnington,,,,populatedPlace,Hamlet,370755,233950,5000,25000,370566,233816,371066,234367,HR8,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HR8,,,,,,,County of Herefordshire,http://data.ordnancesurvey.co.uk/id/7000000000038904,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,West Midlands,http://data.ordnancesurvey.co.uk/id/7000000000041426,England,http://data.ordnancesurvey.co.uk/id/country/england,,"http://dbpedia.org/resource/Donnington,_Herefordshire",http://sws.geonames.org/2651113
osgb4000000074578767,http://data.ordnancesurvey.co.uk/id/4000000074578767,Kynaston,,,,populatedPlace,Hamlet,364319,235850,5000,25000,364054,235705,364554,236205,HR8,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HR8,,,,,,,County of Herefordshire,http://data.ordnancesurvey.co.uk/id/7000000000038904,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,West Midlands,http://data.ordnancesurvey.co.uk/id/7000000000041426,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
