osgb4000000074552338,http://data.ordnancesurvey.co.uk/id/4000000074552338,Lochdon,,,,populatedPlace,Village,172635,732892,14000,250000,172077,732497,174302,733837,PA64,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA64,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2643839
osgb4000000074551220,http://data.ordnancesurvey.co.uk/id/4000000074551220,Lochbuie,,,,populatedPlace,Other Settlement,160837,724941,15000,25000,160154,724581,162371,725660,PA62,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA62,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,"http://dbpedia.org/resource/Lochbuie,_Mull",http://sws.geonames.org/2643843
osgb4000000074552337,http://data.ordnancesurvey.co.uk/id/4000000074552337,Croggan,,,,populatedPlace,Hamlet,170726,727293,5000,25000,170392,727046,171022,727546,PA63,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA63,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2651946
osgb4000000074541294,http://data.ordnancesurvey.co.uk/id/4000000074541294,Strathcoil,,,,populatedPlace,Other Settlement,168496,730771,15000,25000,168325,730575,168889,731111,PA65,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA65,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074552339,http://data.ordnancesurvey.co.uk/id/4000000074552339,Craignure,,,,populatedPlace,Village,171336,737977,12000,250000,171023,736267,172498,738129,PA65,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA65,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Craignure,http://sws.geonames.org/2652120
PA626AA,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA626AA,PA62 6AA,,,,other,Postcode,162185,725210,3500,18000,,,,,,,Lochbuie,http://data.ordnancesurvey.co.uk/id/4000000074551220,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#otherSettlement,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA656AY,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA656AY,PA65 6AY,,,,other,Postcode,172254,736559,3500,18000,,,,,,,Craignure,http://data.ordnancesurvey.co.uk/id/4000000074552339,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA646AP,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA646AP,PA64 6AP,,,,other,Postcode,172861,733384,3500,18000,,,,,,,Lochdon,http://data.ordnancesurvey.co.uk/id/4000000074552338,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA656BE,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA656BE,PA65 6BE,,,,other,Postcode,171372,738000,3500,18000,,,,,,,Craignure,http://data.ordnancesurvey.co.uk/id/4000000074552339,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA656BG,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA656BG,PA65 6BG,,,,other,Postcode,171337,738061,3500,18000,,,,,,,Craignure,http://data.ordnancesurvey.co.uk/id/4000000074552339,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
