osgb4000000074541724,http://data.ordnancesurvey.co.uk/id/4000000074541724,Slack,,,,populatedPlace,Other Settlement,352470,806184,15000,25000,351730,805768,352618,806366,AB34,http://data.ordnancesurvey.co.uk/id/postcodedistrict/AB34,,,,,,,Aberdeenshire,http://data.ordnancesurvey.co.uk/id/7000000000030111,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074561952,http://data.ordnancesurvey.co.uk/id/4000000074561952,Montgarrie,,,,populatedPlace,Village,357524,817860,7000,250000,357196,817464,357957,818539,AB33,http://data.ordnancesurvey.co.uk/id/postcodedistrict/AB33,,,,,,,Aberdeenshire,http://data.ordnancesurvey.co.uk/id/7000000000030111,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074542645,http://data.ordnancesurvey.co.uk/id/4000000074542645,Milton of Cushnie,,,,populatedPlace,Hamlet,352021,811310,5000,25000,351273,811000,352495,811500,AB33,http://data.ordnancesurvey.co.uk/id/postcodedistrict/AB33,,,,,,,Aberdeenshire,http://data.ordnancesurvey.co.uk/id/7000000000030111,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074561557,http://data.ordnancesurvey.co.uk/id/4000000074561557,Coull,,,,populatedPlace,Hamlet,351352,803316,5000,25000,351139,802352,351744,803338,AB34,http://data.ordnancesurvey.co.uk/id/postcodedistrict/AB34,,,,,,,Aberdeenshire,http://data.ordnancesurvey.co.uk/id/7000000000030111,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2652253
osgb4000000074562728,http://data.ordnancesurvey.co.uk/id/4000000074562728,Tarland,,,,populatedPlace,Village,347992,804517,8000,250000,347575,803977,348707,805278,AB34,http://data.ordnancesurvey.co.uk/id/postcodedistrict/AB34,,,,,,,Aberdeenshire,http://data.ordnancesurvey.co.uk/id/7000000000030111,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2636216
osgb4000000074561953,http://data.ordnancesurvey.co.uk/id/4000000074561953,Muir of Alford,,,,populatedPlace,Hamlet,354719,815712,5000,25000,354320,815502,355044,816002,AB33,http://data.ordnancesurvey.co.uk/id/postcodedistrict/AB33,,,,,,,Aberdeenshire,http://data.ordnancesurvey.co.uk/id/7000000000030111,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074543169,http://data.ordnancesurvey.co.uk/id/4000000074543169,Glenkindie,,,,populatedPlace,Village,343937,813641,22000,250000,341389,813479,344783,815112,AB33,http://data.ordnancesurvey.co.uk/id/postcodedistrict/AB33,,,,,,,Aberdeenshire,http://data.ordnancesurvey.co.uk/id/7000000000030111,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074561558,http://data.ordnancesurvey.co.uk/id/4000000074561558,Muir of Fowlis,,,,populatedPlace,Village,357032,812212,11000,250000,355577,811091,357311,812625,AB33,http://data.ordnancesurvey.co.uk/id/postcodedistrict/AB33,,,,,,,Aberdeenshire,http://data.ordnancesurvey.co.uk/id/7000000000030111,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074562939,http://data.ordnancesurvey.co.uk/id/4000000074562939,Logie Coldstone,,,,populatedPlace,Village,343566,804341,7000,250000,342767,803907,343833,804802,AB34,http://data.ordnancesurvey.co.uk/id/postcodedistrict/AB34,,,,,,,Aberdeenshire,http://data.ordnancesurvey.co.uk/id/7000000000030111,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074562136,http://data.ordnancesurvey.co.uk/id/4000000074562136,Bridge of Alford,,,,populatedPlace,Village,356668,817851,7000,250000,355930,817076,356712,818177,AB33,http://data.ordnancesurvey.co.uk/id/postcodedistrict/AB33,,,,,,,Aberdeenshire,http://data.ordnancesurvey.co.uk/id/7000000000030111,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2654748
