osgb4000000074333400,http://data.ordnancesurvey.co.uk/id/4000000074333400,Tanfield Lea,,,,populatedPlace,Other Settlement,419843,554333,15000,25000,419295,553724,419914,554387,DH9,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DH9,,,,,,,County Durham,http://data.ordnancesurvey.co.uk/id/7000000000043607,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Tanfield_Lea,
osgb4000000074576154,http://data.ordnancesurvey.co.uk/id/4000000074576154,Muggleswick,,,,populatedPlace,Hamlet,404152,549914,5000,25000,404053,549645,404652,550145,DH8,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DH8,,,,,,,County Durham,http://data.ordnancesurvey.co.uk/id/7000000000043607,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Muggleswick,http://sws.geonames.org/2642015
osgb4000000074559705,http://data.ordnancesurvey.co.uk/id/4000000074559705,Cornsay,,,,populatedPlace,Hamlet,414510,543551,5000,25000,414338,543162,414838,543800,DH7,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DH7,,,,,,,County Durham,http://data.ordnancesurvey.co.uk/id/7000000000043607,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,http://sws.geonames.org/2652356
osgb4000000074577649,http://data.ordnancesurvey.co.uk/id/4000000074577649,Lintz,,,,populatedPlace,Suburban Area,416566,556412,4000,25000,416298,556116,416798,556731,NE16,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NE16,,,,,,,County Durham,http://data.ordnancesurvey.co.uk/id/7000000000043607,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074577655,http://data.ordnancesurvey.co.uk/id/4000000074577655,Snods Edge,,,,populatedPlace,Hamlet,406361,552503,5000,25000,406159,552264,406659,552764,DH8,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DH8,,,,,,,Northumberland,http://data.ordnancesurvey.co.uk/id/7000000000043674,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Snods_Edge,
osgb4000000074576156,http://data.ordnancesurvey.co.uk/id/4000000074576156,Edmondbyers,,,,populatedPlace,Village,401505,549864,5000,250000,401253,549563,401821,550377,DH8,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DH8,,,,,,,County Durham,http://data.ordnancesurvey.co.uk/id/7000000000043607,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Edmundbyers,http://sws.geonames.org/2650213
osgb4000000074576150,http://data.ordnancesurvey.co.uk/id/4000000074576150,Leadgate,,,,populatedPlace,Village,412626,551649,13000,250000,411629,551034,413445,552984,DH8,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DH8,,,,,,,County Durham,http://data.ordnancesurvey.co.uk/id/7000000000043607,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,http://sws.geonames.org/2644749
osgb4000000074575901,http://data.ordnancesurvey.co.uk/id/4000000074575901,Catchgate,,,,populatedPlace,Suburban Area,416462,552102,6000,25000,416088,551697,416906,552579,DH9,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DH9,,,,,,,County Durham,http://data.ordnancesurvey.co.uk/id/7000000000043607,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Catchgate,
osgb4000000074575915,http://data.ordnancesurvey.co.uk/id/4000000074575915,Lintzford,,,,populatedPlace,Hamlet,415041,557163,5000,25000,414791,556914,415291,557414,NE39,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NE39,,,,,,,County Durham,http://data.ordnancesurvey.co.uk/id/7000000000043607,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074577478,http://data.ordnancesurvey.co.uk/id/4000000074577478,Blackhall Mill,,,,populatedPlace,Village,412095,557006,5000,250000,411449,556703,412280,557203,NE17,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NE17,,,,Gateshead,http://data.ordnancesurvey.co.uk/id/7000000000009716,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,,,,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074559345,http://data.ordnancesurvey.co.uk/id/4000000074559345,Esh Winning,,,,populatedPlace,Village,419126,541681,12000,250000,418104,541106,420004,542780,DH7,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DH7,,,,,,,County Durham,http://data.ordnancesurvey.co.uk/id/7000000000043607,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Esh_Winning,
osgb4000000074575902,http://data.ordnancesurvey.co.uk/id/4000000074575902,Harelaw,,,,populatedPlace,Suburban Area,416118,553049,11000,25000,415880,552165,416664,553885,DH9,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DH9,,,,,,,County Durham,http://data.ordnancesurvey.co.uk/id/7000000000043607,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Harelaw,
osgb4000000074577262,http://data.ordnancesurvey.co.uk/id/4000000074577262,Dipton,,,,populatedPlace,Village,415429,553643,16000,250000,414158,552658,416672,555068,DH9,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DH9,,,,,,,County Durham,http://data.ordnancesurvey.co.uk/id/7000000000043607,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,http://sws.geonames.org/2651224
osgb4000000074576152,http://data.ordnancesurvey.co.uk/id/4000000074576152,Benfieldside,,,,populatedPlace,Suburban Area,409352,552229,6000,25000,409009,551813,409660,552736,DH8,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DH8,,,,,,,County Durham,http://data.ordnancesurvey.co.uk/id/7000000000043607,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074309370,http://data.ordnancesurvey.co.uk/id/4000000074309370,Deanery View,,,,populatedPlace,Suburban Area,416907,547572,2000,25000,416666,547310,417166,547810,DH7,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DH7,,,,,,,County Durham,http://data.ordnancesurvey.co.uk/id/7000000000043607,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074577272,http://data.ordnancesurvey.co.uk/id/4000000074577272,Hooker Gate,,,,populatedPlace,Village,414473,559295,6000,250000,414003,558850,414868,559420,NE39,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NE39,,,,Gateshead,http://data.ordnancesurvey.co.uk/id/7000000000009716,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,,,,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
