osgb4000000074564809,http://data.ordnancesurvey.co.uk/id/4000000074564809,Malacleit,,,,populatedPlace,Suburban Area,79320,873567,12000,25000,79215,873447,80254,875328,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074564503,http://data.ordnancesurvey.co.uk/id/4000000074564503,Samhla,,,,populatedPlace,Hamlet,79991,862119,5000,25000,79569,861512,80222,862859,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074564504,http://data.ordnancesurvey.co.uk/id/4000000074564504,Botarua,eng,Botarubha,gla,populatedPlace,Hamlet,78517,873210,5000,25000,78219,872961,78815,873461,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074573059,http://data.ordnancesurvey.co.uk/id/4000000074573059,Hogha Gearraidh,gla,Hougharry,eng,populatedPlace,Hamlet,70805,870927,5000,25000,70389,870622,70889,871265,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074336989,http://data.ordnancesurvey.co.uk/id/4000000074336989,Tigh a' Ghearraidh,gla,Tigharry,eng,populatedPlace,Village,71291,872042,12000,250000,70790,870446,72660,872331,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074542541,http://data.ordnancesurvey.co.uk/id/4000000074542541,Claddach Kirkibost,eng,Cladach Chirceboist,gla,populatedPlace,Village,78383,865457,12000,250000,77365,864740,79165,866404,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074813578,http://data.ordnancesurvey.co.uk/id/4000000074813578,Paibeil,,,,populatedPlace,Village,74863,868024,21000,250000,72464,867078,75621,869610,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074547319,http://data.ordnancesurvey.co.uk/id/4000000074547319,Claddach-Knockline,eng,Cladach Chnoc a Lin,gla,populatedPlace,Hamlet,75780,868013,5000,25000,75331,867627,76236,868298,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074547318,http://data.ordnancesurvey.co.uk/id/4000000074547318,Claddach Illeray,eng,Cladach Iolaraigh,gla,populatedPlace,Hamlet,79723,864529,5000,25000,79160,864240,80286,864822,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074564810,http://data.ordnancesurvey.co.uk/id/4000000074564810,Hosta,,,,populatedPlace,Hamlet,72381,872502,5000,25000,72214,872144,72714,872644,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
