osgb4000000074569254,http://data.ordnancesurvey.co.uk/id/4000000074569254,Hynish,,,,populatedPlace,Hamlet,98533,739329,5000,25000,97934,738807,98613,739347,PA77,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA77,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2646321
osgb4000000074569592,http://data.ordnancesurvey.co.uk/id/4000000074569592,West Hynish,,,,populatedPlace,Other Settlement,96040,739758,15000,25000,95672,738981,96469,739978,PA77,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA77,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA776UG,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA776UG,PA77 6UG,,,,other,Postcode,98568,739254,3500,18000,,,,,,,Hynish,http://data.ordnancesurvey.co.uk/id/4000000074569254,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#hamlet,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA776UD,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA776UD,PA77 6UD,,,,other,Postcode,98275,739094,3500,18000,,,,,,,Hynish,http://data.ordnancesurvey.co.uk/id/4000000074569254,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#hamlet,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA776UQ,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA776UQ,PA77 6UQ,,,,other,Postcode,98502,739161,3500,18000,,,,,,,Hynish,http://data.ordnancesurvey.co.uk/id/4000000074569254,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#hamlet,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA776UF,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA776UF,PA77 6UF,,,,other,Postcode,96035,739710,3500,18000,,,,,,,West Hynish,http://data.ordnancesurvey.co.uk/id/4000000074569592,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#otherSettlement,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074586383,http://data.ordnancesurvey.co.uk/id/4000000074586383,Eilean Mòr,,,,landform,Other Coastal Landform,95848,738908,2000,50000,95599,738630,96099,739130,PA77,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA77,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074757464,http://data.ordnancesurvey.co.uk/id/4000000074757464,Mòr Chlèit,,,,landform,Other Coastal Landform,97437,738412,1000,50000,97188,738158,97688,738658,PA77,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA77,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074757461,http://data.ordnancesurvey.co.uk/id/4000000074757461,Rubha Dubh,,,,landform,Other Coastal Landform,98282,738760,1000,50000,98040,738510,98540,739010,PA77,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA77,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074757459,http://data.ordnancesurvey.co.uk/id/4000000074757459,Poll Mhiasumuill,,,,landform,Other Coastal Landform,97763,738552,1000,50000,97513,738319,98013,738819,PA77,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA77,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
