osgb4000000074571478,http://data.ordnancesurvey.co.uk/id/4000000074571478,Westfield,,,,populatedPlace,Suburban Area,367611,154250,7000,25000,367017,153602,367957,154737,BA3,http://data.ordnancesurvey.co.uk/id/postcodedistrict/BA3,,,,,,,Bath and North East Somerset,http://data.ordnancesurvey.co.uk/id/7000000000025554,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,"http://dbpedia.org/resource/Westfield,_Somerset",
osgb4000000074554178,http://data.ordnancesurvey.co.uk/id/4000000074554178,Coleford,,,,populatedPlace,Village,368669,148735,12000,250000,368080,148547,369910,150080,BA3,http://data.ordnancesurvey.co.uk/id/postcodedistrict/BA3,,,,Mendip,http://data.ordnancesurvey.co.uk/id/7000000000043462,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Somerset,http://data.ordnancesurvey.co.uk/id/7000000000010578,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,"http://dbpedia.org/resource/Coleford,_Somerset",
osgb4000000074571827,http://data.ordnancesurvey.co.uk/id/4000000074571827,Thicket Mead,,,,populatedPlace,Suburban Area,365706,154984,4000,25000,365486,154680,366166,155180,BA3,http://data.ordnancesurvey.co.uk/id/postcodedistrict/BA3,,,,,,,Bath and North East Somerset,http://data.ordnancesurvey.co.uk/id/7000000000025554,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074550784,http://data.ordnancesurvey.co.uk/id/4000000074550784,Thrupe,,,,populatedPlace,Hamlet,360336,145871,5000,25000,360084,145635,360584,146135,BA5,http://data.ordnancesurvey.co.uk/id/postcodedistrict/BA5,,,,Mendip,http://data.ordnancesurvey.co.uk/id/7000000000043462,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Somerset,http://data.ordnancesurvey.co.uk/id/7000000000010578,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074542479,http://data.ordnancesurvey.co.uk/id/4000000074542479,Park Corner,,,,populatedPlace,Suburban Area,378081,159839,4000,25000,377814,159635,378423,160224,BA2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/BA2,,,,,,,Bath and North East Somerset,http://data.ordnancesurvey.co.uk/id/7000000000025554,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074569075,http://data.ordnancesurvey.co.uk/id/4000000074569075,High Littleton,,,,populatedPlace,Village,364523,158420,9000,250000,363682,157770,365028,159022,BS39,http://data.ordnancesurvey.co.uk/id/postcodedistrict/BS39,,,,,,,Bath and North East Somerset,http://data.ordnancesurvey.co.uk/id/7000000000025554,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/High_Littleton,
osgb4000000074585069,http://data.ordnancesurvey.co.uk/id/4000000074585069,Stonebridge,,,,populatedPlace,Suburban Area,378819,149231,5000,25000,378416,148957,379242,149528,BA11,http://data.ordnancesurvey.co.uk/id/postcodedistrict/BA11,,,,Mendip,http://data.ordnancesurvey.co.uk/id/7000000000043462,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Somerset,http://data.ordnancesurvey.co.uk/id/7000000000010578,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074314464,http://data.ordnancesurvey.co.uk/id/4000000074314464,Meadgate East,,,,populatedPlace,Hamlet,368064,158681,5000,25000,367847,158525,368347,159025,BA2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/BA2,,,,,,,Bath and North East Somerset,http://data.ordnancesurvey.co.uk/id/7000000000025554,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074569418,http://data.ordnancesurvey.co.uk/id/4000000074569418,Mearns,,,,populatedPlace,Hamlet,365164,158838,5000,25000,364978,158602,365478,159102,BS39,http://data.ordnancesurvey.co.uk/id/postcodedistrict/BS39,,,,,,,Bath and North East Somerset,http://data.ordnancesurvey.co.uk/id/7000000000025554,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074570428,http://data.ordnancesurvey.co.uk/id/4000000074570428,Radstock,,,,populatedPlace,Town,368849,154861,23000,2000000,367017,153043,370550,156333,BA3,http://data.ordnancesurvey.co.uk/id/postcodedistrict/BA3,,,,,,,Bath and North East Somerset,http://data.ordnancesurvey.co.uk/id/7000000000025554,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Radstock,http://sws.geonames.org/2639715
osgb4000000074550782,http://data.ordnancesurvey.co.uk/id/4000000074550782,Bowlish,,,,populatedPlace,Suburban Area,361215,144040,2000,25000,361006,143813,361506,144313,BA4,http://data.ordnancesurvey.co.uk/id/postcodedistrict/BA4,,,,Mendip,http://data.ordnancesurvey.co.uk/id/7000000000043462,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Somerset,http://data.ordnancesurvey.co.uk/id/7000000000010578,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
