osgb4000000074567108,http://data.ordnancesurvey.co.uk/id/4000000074567108,Courtsend,,,,populatedPlace,Village,602516,193613,4000,250000,602278,193292,602941,193944,SS3,http://data.ordnancesurvey.co.uk/id/postcodedistrict/SS3,,,,Rochford,http://data.ordnancesurvey.co.uk/id/7000000000019625,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Essex,http://data.ordnancesurvey.co.uk/id/7000000000019687,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074567109,http://data.ordnancesurvey.co.uk/id/4000000074567109,Churchend,,,,populatedPlace,Village,600334,192924,4000,250000,600172,192581,600672,193267,SS3,http://data.ordnancesurvey.co.uk/id/postcodedistrict/SS3,,,,Rochford,http://data.ordnancesurvey.co.uk/id/7000000000019625,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Essex,http://data.ordnancesurvey.co.uk/id/7000000000019687,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
SS39XH,http://data.ordnancesurvey.co.uk/id/postcodeunit/SS39XH,SS3 9XH,,,,other,Postcode,600672,193754,3500,18000,,,,,,,,,,Rochford,http://data.ordnancesurvey.co.uk/id/7000000000019625,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Essex,http://data.ordnancesurvey.co.uk/id/7000000000019687,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
SS39XR,http://data.ordnancesurvey.co.uk/id/postcodeunit/SS39XR,SS3 9XR,,,,other,Postcode,602906,193337,3500,18000,,,,,,,Courtsend,http://data.ordnancesurvey.co.uk/id/4000000074567108,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,Rochford,http://data.ordnancesurvey.co.uk/id/7000000000019625,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Essex,http://data.ordnancesurvey.co.uk/id/7000000000019687,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
CM08NG,http://data.ordnancesurvey.co.uk/id/postcodeunit/CM08NG,CM0 8NG,,,,other,Postcode,600879,196580,3500,18000,,,,,,,,,,Maldon,http://data.ordnancesurvey.co.uk/id/7000000000019501,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Essex,http://data.ordnancesurvey.co.uk/id/7000000000019687,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
SS39XN,http://data.ordnancesurvey.co.uk/id/postcodeunit/SS39XN,SS3 9XN,,,,other,Postcode,601320,193118,3500,18000,,,,,,,,,,Rochford,http://data.ordnancesurvey.co.uk/id/7000000000019625,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Essex,http://data.ordnancesurvey.co.uk/id/7000000000019687,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
SS39XW,http://data.ordnancesurvey.co.uk/id/postcodeunit/SS39XW,SS3 9XW,,,,other,Postcode,602497,193251,3500,18000,,,,,,,,,,Rochford,http://data.ordnancesurvey.co.uk/id/7000000000019625,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Essex,http://data.ordnancesurvey.co.uk/id/7000000000019687,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
CM07JQ,http://data.ordnancesurvey.co.uk/id/postcodeunit/CM07JQ,CM0 7JQ,,,,other,Postcode,601298,198749,3500,18000,,,,,,,,,,Maldon,http://data.ordnancesurvey.co.uk/id/7000000000019501,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Essex,http://data.ordnancesurvey.co.uk/id/7000000000019687,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
CM08NJ,http://data.ordnancesurvey.co.uk/id/postcodeunit/CM08NJ,CM0 8NJ,,,,other,Postcode,600719,197765,3500,18000,,,,,,,,,,Maldon,http://data.ordnancesurvey.co.uk/id/7000000000019501,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Essex,http://data.ordnancesurvey.co.uk/id/7000000000019687,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
SS39XQ,http://data.ordnancesurvey.co.uk/id/postcodeunit/SS39XQ,SS3 9XQ,,,,other,Postcode,600305,192881,3500,18000,,,,,,,Churchend,http://data.ordnancesurvey.co.uk/id/4000000074567109,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,Rochford,http://data.ordnancesurvey.co.uk/id/7000000000019625,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Essex,http://data.ordnancesurvey.co.uk/id/7000000000019687,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Eastern,http://data.ordnancesurvey.co.uk/id/7000000000041425,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
