osgb4000000074552734,http://data.ordnancesurvey.co.uk/id/4000000074552734,Ardtun,,,,populatedPlace,Village,138292,723050,19000,250000,137973,721976,140912,724096,PA67,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA67,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Ardtun,
osgb4000000074553472,http://data.ordnancesurvey.co.uk/id/4000000074553472,Kintra,,,,populatedPlace,Other Settlement,130892,724912,15000,25000,130775,724758,131794,725489,PA66,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA66,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2645355
osgb4000000074553110,http://data.ordnancesurvey.co.uk/id/4000000074553110,Baile Mòr,,,,populatedPlace,Village,128457,724091,11000,250000,127338,723201,128854,724886,PA76,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA76,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074553109,http://data.ordnancesurvey.co.uk/id/4000000074553109,Fionnphort,,,,populatedPlace,Village,130202,723200,4000,250000,129874,723060,130500,723560,PA66,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA66,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Fionnphort,http://sws.geonames.org/6695514
osgb4000000074553107,http://data.ordnancesurvey.co.uk/id/4000000074553107,Eorabus,,,,populatedPlace,Hamlet,138003,723732,5000,25000,137843,723070,138578,723757,PA67,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA67,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074552732,http://data.ordnancesurvey.co.uk/id/4000000074552732,Bunessan,,,,populatedPlace,Village,138458,721933,13000,250000,137848,721552,139778,722512,PA67,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA67,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Bunessan,http://sws.geonames.org/2654329
osgb4000000074553108,http://data.ordnancesurvey.co.uk/id/4000000074553108,Aridhglas,,,,populatedPlace,Other Settlement,131813,723255,15000,25000,131237,723114,132045,723861,PA66,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA66,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Aridhglas,
PA666BT,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA666BT,PA66 6BT,,,,other,Postcode,131466,725347,3500,18000,,,,,,,Kintra,http://data.ordnancesurvey.co.uk/id/4000000074553472,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#otherSettlement,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA676DL,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA676DL,PA67 6DL,,,,other,Postcode,139507,722289,3500,18000,,,,,,,Bunessan,http://data.ordnancesurvey.co.uk/id/4000000074552732,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA766SW,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA766SW,PA76 6SW,,,,other,Postcode,128659,725052,3500,18000,,,,,,,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
